	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4
KIF3A	0.11877909	0.1134901	0.1112356	0.11796577	0.8934011	0.88415288	0.87891524	0.88624152	0.29476721	0.28896513	0.28442875	0.27612627	0.69557483	0.71893164	0.73401514	0.73226549
GUCA2B	0.00044329	0.00044329	0.00044329	0.00044329	0.00048363	0.00048363	0.00048363	0.00048363	0.00043593	0.00043593	0.00043593	0.00043593	0.00041224	0.00041224	0.00041224	0.00041224
MYLPF	0.00153415	0.00128539	0.00199917	0.00181929	0.00082995	0.00107088	0.00155325	0.00083165	0.00131235	0.00168971	0.00233532	0.00140703	0.00057037	0.00075981	0.00048238	0.00121572
HSU79274	0.22338641	0.24491264	0.24566376	0.2247185	0.2381267	0.24562666	0.24448329	0.23901825	0.25324353	0.27640744	0.26102069	0.24983529	0.26688227	0.26539481	0.26853733	0.26927286
LR8	0.0030105	0.00322508	0.00344414	0.00312624	0.09511603	0.09361084	0.09675044	0.09376231	0.02265062	0.02147129	0.02221421	0.02318225	0.06084999	0.06047937	0.05836422	0.06041608
IL1F6	0.00044329	0.00044329	0.00044329	0.00044329	0.00048363	0.00048363	0.00048363	0.00048363	0.00043593	0.00043593	0.00043593	0.00043593	0.00041224	0.00041224	0.00041224	0.00041224
JMJD2A	0.04103244	0.04002985	0.04386527	0.03843004	0.0355977	0.03603087	0.03489837	0.03113793	0.04443984	0.04343062	0.04493582	0.04274576	0.03798849	0.03884086	0.0386357	0.03452166
KIAA0773	0.00955701	0.01092977	0.00950956	0.00947905	0.50008643	0.49151789	0.49348757	0.48516282	0.10665363	0.10700455	0.1042584	0.10237937	0.28667251	0.27833263	0.28852106	0.27833411
KIAA0152	0.86541487	0.86892157	0.84529509	0.89816587	0.34455323	0.32827624	0.33783361	0.33872878	0.80150626	0.8307804	0.83366464	0.84810402	0.51039715	0.49635759	0.53867292	0.53619956
KIAA0101	1.41097176	1.39348039	1.43641038	1.35283599	0.00577488	0.0060356	0.00581655	0.00581595	1.24426144	1.25791818	1.23288126	1.21819193	0.43245342	0.41990147	0.42135048	0.45221814
KIAA0652	0.53208971	0.52480222	0.54994282	0.54396349	0.94485639	0.93944851	0.93398435	0.94852709	0.69359326	0.66873772	0.68980235	0.69302189	0.85965437	0.85420974	0.83319184	0.88059458
MELK	0.49283485	0.52234449	0.52517998	0.49411381	0.00079194	0.00071884	0.00048363	0.00056661	0.40780104	0.41906805	0.42102945	0.41130076	0.12974492	0.13217438	0.14257871	0.12899666
KIAA0196	0.10766331	0.11006883	0.10475229	0.11051421	0.08686295	0.08676458	0.09466273	0.08985919	0.11502123	0.11094349	0.10839672	0.10760249	0.08547856	0.08555238	0.08872147	0.09239126
VASH1	0.03805645	0.03671595	0.03534804	0.03935787	0.16602444	0.16141712	0.17465391	0.18355808	0.05768141	0.06018675	0.06630744	0.06054114	0.09719962	0.10743185	0.10759555	0.11692596
CLCC1	0.14990353	0.15251908	0.15754976	0.15839556	0.10749626	0.10943087	0.11712102	0.11035692	0.13776116	0.14296871	0.15403778	0.15653768	0.12296038	0.12799524	0.12164583	0.13104284
LEPROTL1	0.53997005	0.52951943	0.50642767	0.52311074	0.51057473	0.51396704	0.49251058	0.52138167	0.53785063	0.54289798	0.54714909	0.55060191	0.49135297	0.48782355	0.54351866	0.5287256
HS747E2A	0.00044329	0.00044329	0.00044329	0.00044329	0.00048363	0.00048363	0.00048363	0.00048363	0.00043593	0.00043593	0.00043593	0.00043593	0.00041224	0.00041224	0.00041224	0.00041224
LOC51066	0.01746223	0.01620039	0.01678167	0.01734643	0.00048363	0.00048363	0.00048363	0.00048363	0.01282383	0.01356034	0.01419082	0.01444839	0.0045995	0.00558351	0.00525605	0.00513116
LOC51337	0.1553558	0.1562375	0.14926294	0.15731579	0.07325553	0.06975156	0.07848076	0.07868556	0.13349178	0.13007458	0.13503795	0.13414936	0.09523496	0.09424153	0.10302646	0.10015786
LOC55831	0.89160434	0.86884443	0.89149664	0.89123002	0.99197706	0.97194641	0.97652597	0.97369905	0.89843104	0.89819969	0.88223953	0.88203112	0.94557457	0.90591772	0.94559071	0.87937966
MDS032	0.18764614	0.1826588	0.17600156	0.19012176	0.22289652	0.21852931	0.21089287	0.2145088	0.20172881	0.1902252	0.19751681	0.18936613	0.19817205	0.19860066	0.19979326	0.20356776
HCA112	0.01006676	0.00861105	0.00834099	0.00655584	0.27093154	0.27727546	0.29806971	0.29812138	0.06774447	0.06551837	0.06751982	0.07382819	0.18587688	0.18378589	0.18734547	0.18034232
IL17RB	0.0516636	0.05006526	0.05189812	0.05153413	0.06375181	0.06387282	0.06603389	0.06449002	0.0573911	0.05574138	0.05497245	0.05215795	0.05227784	0.05229742	0.05349263	0.05031087
KRT24	0.00044329	0.00044329	0.00044329	0.00044329	0.00148478	0.00102798	0.00243444	0.00150383	0.00043593	0.00054934	0.00043593	0.00043593	0.00090239	0.00109101	0.00142774	0.0004936
IL1F9	0.00087478	0.00049199	0.00108551	0.00065841	0.00048363	0.00048363	0.00048363	0.00048363	0.00129705	0.00086747	0.00090589	0.00153731	0.00081793	0.00058783	0.0006741	0.00054118
LXN	0.06787724	0.07053916	0.06945979	0.07060112	0.01484904	0.01479701	0.01392559	0.01455259	0.06386295	0.06617637	0.06508736	0.06043379	0.03719263	0.0358648	0.03846811	0.03564032
MEPE	0.00044329	0.00044329	0.00044329	0.00044329	0.0273841	0.02744828	0.02711168	0.02710364	0.00599964	0.00568234	0.00640974	0.00611769	0.01830687	0.01794559	0.02067813	0.02013678
LZTFL1	0.30018114	0.32657955	0.31475386	0.30578235	0.41221861	0.42402028	0.42365673	0.40695201	0.32260971	0.34571759	0.33844342	0.34088825	0.3594325	0.36556246	0.36845261	0.34591927
HB-1	0.00044329	0.00044329	0.00044329	0.00044329	0.00048363	0.00048363	0.00048363	0.00048363	0.00043593	0.00043593	0.00043593	0.00043593	0.00041224	0.00041224	0.00041224	0.00041224
LGR7	0.00086723	0.00088188	0.00083214	0.00086943	0.09416276	0.09460981	0.09559776	0.08909791	0.01851571	0.02095044	0.02049276	0.01846169	0.07215688	0.0746117	0.0776671	0.07485451
ITM2B	0.6362299	0.59565913	0.61285267	0.63501119	1.83462727	1.83885781	1.86884106	1.86849045	0.89938824	0.87358302	0.89077346	0.88019606	1.72479704	1.7740664	1.77055717	1.83030572
TINAGL1	0.06666024	0.06910054	0.07223351	0.07800303	0.10637759	0.10253414	0.10546978	0.10653967	0.08265659	0.08235127	0.09089933	0.09126218	0.08308229	0.07889035	0.0890212	0.08661499
LHX5	0.00250458	0.00188211	0.00216168	0.00165864	0.01249234	0.0128092	0.01294993	0.01403544	0.00482527	0.00456906	0.00429379	0.00483778	0.01092529	0.01147452	0.0104487	0.01011216
MFSD1	0.32779896	0.31743971	0.32719311	0.3202316	0.16357151	0.16307041	0.16020629	0.15495256	0.30080169	0.30293766	0.32461438	0.31664204	0.19991161	0.19708696	0.20378539	0.20015769
7-Mar	0.29731413	0.2729357	0.2874512	0.2831769	0.29105944	0.29180594	0.2811665	0.27968564	0.31673741	0.30493569	0.30435319	0.3071556	0.27405645	0.27107822	0.26825466	0.27158863
HTR5A	0.00168259	0.00120586	0.0015745	0.00163419	0.18223546	0.17748821	0.18449165	0.17835971	0.03613809	0.03522132	0.03351113	0.03620819	0.11886832	0.11612762	0.11987286	0.12789346
MGC4504	0.00742041	0.01014825	0.00903825	0.00933055	0.00976234	0.01015403	0.00965573	0.00951556	0.01017955	0.00970127	0.00929036	0.00889348	0.00982436	0.0107054	0.00994051	0.0097947
MAPKAP1	0.24139027	0.23864078	0.24107207	0.24036847	0.18670997	0.1810717	0.18704351	0.18078255	0.25531158	0.24803435	0.26322126	0.23780989	0.19795288	0.19277346	0.19191944	0.20796428
LENG4	0.72396667	0.72391332	0.6804027	0.68367102	0.58288483	0.6273917	0.61150879	0.61262152	0.68465588	0.6884452	0.6838781	0.64640046	0.57961231	0.56527434	0.59973931	0.56955386
KLHL18	0.13928884	0.13366996	0.13398295	0.14031543	0.13547923	0.14072118	0.15331399	0.14558163	0.1411397	0.14075594	0.15366002	0.14473491	0.16155844	0.16086569	0.16558615	0.16796646
IQCG	0.04679233	0.05027088	0.05341121	0.05067144	0.0847513	0.08408259	0.07850973	0.08409702	0.05893821	0.06308023	0.0653429	0.06363997	0.0716239	0.06564036	0.06760022	0.0681182
HEY2	0.03394054	0.03329483	0.03127143	0.02941303	0.10019405	0.08714403	0.0918069	0.09211502	0.04636304	0.04732129	0.04749278	0.04688652	0.07692677	0.07566243	0.07604284	0.07644556
LHX6	0.00286765	0.00323266	0.00347119	0.00330483	0.11085729	0.1175788	0.11262199	0.11795792	0.02525816	0.02623502	0.02606786	0.02664331	0.06932484	0.06327645	0.06477108	0.0640996
C17orf40	0.30095773	0.31837181	0.31646206	0.31638937	0.12079034	0.12910938	0.12576247	0.12503476	0.27454273	0.27601478	0.27219861	0.30000356	0.15093625	0.16007367	0.15169482	0.15272754
IARS	0.42574637	0.41987442	0.42452815	0.4365548	0.14432378	0.14753416	0.1457635	0.14305673	0.39568299	0.39998364	0.39204582	0.39758441	0.21450859	0.20951875	0.23283915	0.2307782
HOXB8	0.01184768	0.012016	0.0159213	0.01080379	0.00048363	0.00055416	0.00048363	0.00048497	0.01143717	0.01135184	0.01059532	0.00846096	0.00368084	0.00225639	0.00424344	0.00362984
LOC81691	0.0613417	0.05795487	0.06639001	0.06354017	0.01508258	0.01506594	0.01724806	0.01491485	0.05419144	0.05345051	0.05888502	0.05276194	0.03153912	0.03249678	0.03114971	0.03450366
MEGF11	0.0006572	0.00064167	0.0005745	0.00085026	0.03528834	0.03661191	0.0328798	0.03338057	0.0089247	0.00774804	0.00915277	0.00974908	0.03189378	0.03279201	0.03199453	0.03193601
KCNE1L	0.01221897	0.01425531	0.01137747	0.01523857	0.08765345	0.08799221	0.0863613	0.08732357	0.0296965	0.03216789	0.02844278	0.03112464	0.07344127	0.08231893	0.07556539	0.07384069
BTBD15	0.20828649	0.21229251	0.22726465	0.21581046	0.23994545	0.24484803	0.26932005	0.24940707	0.22083199	0.23115034	0.21623227	0.22327619	0.21305529	0.19875889	0.21795829	0.19872014
TAAR2	0.00333965	0.00343351	0.00259008	0.00303553	0.00048363	0.00048363	0.00048363	0.00048363	0.00292449	0.00243437	0.00226196	0.00251717	0.00077272	0.00082675	0.00092839	0.00122919
HYDIN	0.01002221	0.00926154	0.00939263	0.00929501	0.20419698	0.20130332	0.20537204	0.19224901	0.05133259	0.05271594	0.0494477	0.05161759	0.16118093	0.16432299	0.16061977	0.16029119
C16orf24	0.07960878	0.08081739	0.07724487	0.07821046	0.08039906	0.07571387	0.07569962	0.07184247	0.0872436	0.08384106	0.08281652	0.08317928	0.08549866	0.08667125	0.08951177	0.09057575
LRRC7	0.00641791	0.006463	0.00662476	0.00688007	0.39176968	0.3946713	0.37791122	0.36905428	0.08800591	0.08441787	0.0827336	0.08549272	0.26433681	0.22595716	0.22401661	0.25167963
MGC2963	0.35476946	0.34695302	0.35248993	0.34255879	0.17676924	0.17591261	0.17810355	0.0769472	0.30950745	0.31980018	0.31505487	0.30571408	0.24595574	0.24614917	0.26997329	0.24692682
MIA2	0.02370514	0.02187682	0.02756619	0.02534361	0.00058856	0.00048363	0.00054129	0.00048363	0.01979255	0.0215303	0.02252791	0.02292295	0.00863153	0.00759841	0.00975827	0.01160215
MAB21L1	0.02779532	0.02763547	0.02804588	0.02808105	0.70542921	0.71332412	0.71841817	0.73854822	0.18647553	0.19204374	0.19265505	0.17930953	0.40673008	0.41427197	0.38979369	0.40509391
KCTD5	0.28428851	0.28819791	0.29338973	0.27608132	0.12702597	0.11935973	0.1212758	0.12152432	0.26224855	0.24297874	0.27414973	0.25628408	0.17514495	0.17163444	0.16513905	0.17009694
HYDIN	0.0062673	0.0067759	0.0066641	0.00563102	0.05096805	0.05193928	0.05211799	0.04991938	0.01653036	0.01625852	0.01613603	0.01564055	0.03641351	0.03821711	0.03759495	0.03737641
HOXA5	0.02689418	0.02584584	0.0266129	0.02669816	0.00068614	0.00082577	0.00090301	0.00067957	0.02233511	0.0225806	0.02215233	0.02204571	0.00908011	0.00805003	0.00778875	0.00857587
KIAA1900	0.01550994	0.01577271	0.01401305	0.01666209	0.65747938	0.65085822	0.63090696	0.63660536	0.14984211	0.15061693	0.15484544	0.13847817	0.39072034	0.3899078	0.39296821	0.40992889
HTRA4	0.00096378	0.00045684	0.00044329	0.00044329	0.00048363	0.00048363	0.00048363	0.00048363	0.00103746	0.00043593	0.00059024	0.0007329	0.00041224	0.00050992	0.00041224	0.00100423
LOC132321	0.10355082	0.09788113	0.09823975	0.09955674	0.15823248	0.16125707	0.15182722	0.14899872	0.12115723	0.12289286	0.11096276	0.12272155	0.13317839	0.12042302	0.12570402	0.12778807
HOXA7	0.00543263	0.00570717	0.00588369	0.00634064	0.00048363	0.00048363	0.00048363	0.00048363	0.00505721	0.00446743	0.00476079	0.00493559	0.00205735	0.002175	0.00184644	0.00207192
HDHD1A	0.17564701	0.17031719	0.17427507	0.18136745	0.10758638	0.10531848	0.09731715	0.10401671	0.17808207	0.17887114	0.1698914	0.17962594	0.10542572	0.11742949	0.11742093	0.11316432
KIF4A	0.3511412	0.3534888	0.3658099	0.37314291	0.00373882	0.00332444	0.00351424	0.00314239	0.32427017	0.33545891	0.33175136	0.3312648	0.10635048	0.10625854	0.11785959	0.10922826
LIN28	1.05574049	1.11908018	1.16821451	1.10080938	0.0005773	0.00076323	0.00089412	0.00079772	1.07942061	1.12806834	1.12675382	1.13790637	0.35685256	0.36325591	0.37153634	0.37760989
MGC17337	0.33785892	0.33929497	0.32977139	0.33786674	0.18102822	0.17851707	0.18048284	0.17857533	0.33898354	0.35167113	0.3428241	0.34726922	0.22078416	0.23210786	0.23902096	0.22541518
KCNE4	0.15251308	0.15167324	0.15763759	0.15370182	0.06104782	0.06117863	0.05936178	0.05947732	0.15243088	0.15117251	0.15423848	0.14731806	0.09741334	0.09639897	0.09140075	0.09587642
UBC	8.95084906	8.74618055	8.30148446	8.350553	11.10171148	11.19641731	11.05056554	11.3445633	9.43924573	9.60852754	9.72042654	9.25419688	6.68516041	6.97527032	6.75134769	7.15622247
LDHA	27.64359859	27.33397592	27.58493776	27.10078188	3.6105505	3.72174319	3.7059844	3.64838788	25.86375358	25.38057083	26.91449931	25.33220654	10.91532551	10.71543839	11.49442664	11.25783731
LYPLA2	0.63005193	0.64574381	0.633342	0.64708395	0.24222317	0.23437816	0.24410535	0.24219622	0.48521282	0.51206399	0.51163223	0.49290923	0.38793457	0.37415897	0.38095517	0.39448015
18S	48039.74758	47734.75651	48126.56016	48882.12457	53973.08272	54002.6521	56258.62921	55084.12004	48141.55026	49421.86523	50682.78107	48503.89722	42576.17161	42832.93421	44788.60619	44976.81622
HPRT1	1.39079224	1.40657518	1.33896555	1.32480409	1.23154017	1.32352345	1.25885546	1.22997717	1.46878687	1.4759615	1.47734492	1.4120164	0.93075714	0.91584717	0.93047593	0.97207962
SPDEF	0.05556897	0.05374516	0.05660203	0.05349134	0.00929017	0.00893804	0.01055225	0.00993433	0.0526123	0.05382013	0.05458112	0.04956372	0.02066205	0.02075091	0.01951862	0.02060152
POLR2A	0.99868754	0.98436476	1.02585354	0.99158272	0.95907338	0.97903516	1.04207981	1.02199529	0.95659767	1.0178405	1.0383914	0.98907648	0.96809726	0.97541675	1.03557569	1.02260746
SEMA3A	0.17512302	0.1728869	0.16821064	0.1744922	0.05394415	0.05195474	0.05160553	0.05160862	0.15830776	0.16309019	0.16250816	0.15782342	0.09740802	0.09153193	0.09632037	0.09869153
WIF1	0.00046296	0.00129296	0.00081608	0.000503	0.18018089	0.18151571	0.17212567	0.17046097	0.0361961	0.04004598	0.0348632	0.03104468	0.10238335	0.11125842	0.10468537	0.10256225
TRAF2	0.47182764	0.48225796	0.50557872	0.50628548	0.20107416	0.19769269	0.1928908	0.20247618	0.43436951	0.4359828	0.43597093	0.46717433	0.25815519	0.26224256	0.24469652	0.25192993
SLC16A2	0.02989039	0.02759707	0.02905649	0.03003316	0.05110852	0.05538273	0.05411455	0.05686136	0.03413911	0.03699628	0.03396621	0.03537991	0.03713547	0.03939306	0.03721444	0.03754144
TRAF1	0.06570583	0.06636782	0.06816773	0.0731681	0.01848416	0.01958634	0.01862935	0.020505	0.05799617	0.05460021	0.05552595	0.05789181	0.02693611	0.02777549	0.02901687	0.02862478
SLC17A2	0.00488891	0.00562954	0.00631386	0.00573008	0.00046434	0.00046434	0.00046434	0.00046434	0.00429773	0.00464062	0.00453895	0.0049065	0.00117362	0.00145615	0.00119135	0.00131527
TSPAN31	0.19207094	0.20016295	0.19595516	0.1898011	0.21179928	0.21383644	0.22287619	0.22099486	0.20768941	0.19857324	0.20709112	0.20450452	0.16740981	0.16138767	0.16955776	0.16145447
SIX1	0.04110937	0.04273737	0.04234246	0.04279858	0.00253258	0.0031951	0.0022944	0.00277655	0.03425362	0.03504717	0.03624888	0.03620108	0.0125343	0.01275304	0.01131661	0.01174518
TGOLN2	0.70353652	0.70595514	0.70152322	0.69930978	0.89283812	0.90022315	0.88936294	0.87030199	0.82740403	0.8217924	0.82930235	0.81987294	0.66204536	0.64915014	0.662301	0.65597805
SLC2A1	1.77030569	1.74163597	1.72987099	1.77591462	0.74014414	0.72284578	0.71497555	0.7356125	1.71154902	1.68956661	1.66806591	1.69049035	0.9342573	0.95134784	1.03891392	0.99436244
SLC22A7	0.00337701	0.00360668	0.00427213	0.00496418	0.0012607	0.00104496	0.00161991	0.00136722	0.00355795	0.0032618	0.00343323	0.00362351	0.00140947	0.00156924	0.00231585	0.00227047
SLC38A3	0.17317674	0.17163172	0.17668136	0.17851399	0.25011837	0.25271806	0.25111496	0.25158478	0.19828043	0.19739592	0.20870473	0.20677382	0.18638738	0.20036786	0.20680975	0.18181885
SOX15	0.00101641	0.00130755	0.00086014	0.00088888	0.06604709	0.06729147	0.06105276	0.05687245	0.01598731	0.0172852	0.01676031	0.01470889	0.04031826	0.04140277	0.04104474	0.0408912
STMN2	0.03157403	0.03361994	0.03373335	0.03413493	7.50720785	7.69054114	7.90484129	7.78119161	1.52243668	1.5600623	1.60791656	1.59751758	4.32436868	4.43015964	4.39815594	4.32833624
VIL1	0.03585458	0.0382916	0.03872109	0.03661319	0.00046434	0.00046434	0.00046434	0.00046434	0.02870873	0.02805651	0.02860614	0.02971079	0.00888394	0.00852817	0.00971493	0.01038798
TU3A	0.043902	0.04099736	0.0393301	0.04189906	7.41395432	7.2302628	7.26117643	7.30824322	1.67128418	1.60792396	1.71532706	1.67661042	4.73248918	4.39859767	4.67051211	4.67547453
SLC6A14	0.07292688	0.06285325	0.07433066	0.06724686	0.00046434	0.00046434	0.00046434	0.00046434	0.06271684	0.05638671	0.05839272	0.05802122	0.01562685	0.0150867	0.01516097	0.01607809
SLCO2B1	0.00999578	0.00989527	0.01133537	0.0103014	0.06590392	0.06409324	0.07617365	0.07967871	0.02231028	0.02201719	0.02509213	0.02405927	0.03554667	0.03417538	0.0408214	0.03986241
TUSC2	0.00600507	0.00498965	0.006532	0.00694299	0.01124976	0.01011557	0.0138312	0.01226932	0.0060521	0.00505438	0.00742821	0.00603368	0.00645255	0.00568723	0.00752444	0.00634124
SCRG1	0.01380143	0.01232545	0.01219982	0.01312714	2.44871138	2.48125218	2.53165439	2.58799921	0.53517343	0.52372559	0.48721376	0.49526859	1.45511675	1.4685938	1.48183497	1.49604071
TAGLN3	0.03934698	0.04399514	0.04175239	0.04045059	4.88678339	5.20068373	5.12312853	4.88301662	1.2162291	1.23596161	1.22520895	1.28275901	3.03869123	3.24816074	3.14544572	3.31909317
ST8SIA5	0.00897217	0.00926591	0.00767601	0.00797314	0.54449934	0.54904288	0.50256638	0.52045143	0.13298071	0.12100862	0.11735485	0.12411993	0.35883357	0.3681966	0.38057571	0.38393814
SLC16A8	0.00048311	0.00046296	0.00046296	0.00046296	0.00879828	0.00931888	0.01125176	0.01071547	0.00215423	0.00241471	0.00253005	0.0023879	0.00583824	0.00574983	0.00529173	0.00531576
TMEM5	0.44528476	0.43163752	0.46012945	0.44258418	0.20747577	0.2126365	0.21759862	0.21141703	0.42718646	0.41609872	0.45100314	0.4328326	0.23346605	0.23418305	0.26757062	0.24772745
TTLL3	0.24070602	0.24486839	0.24279194	0.22438143	0.15380258	0.1478554	0.15571748	0.15111629	0.22854161	0.22736674	0.23389726	0.24166041	0.15970179	0.15740401	0.15906056	0.16386742
TTC15	0.35672435	0.36558161	0.35332101	0.34748207	0.42323714	0.4330188	0.41974852	0.43213765	0.39146248	0.37366647	0.42775576	0.38833889	0.36185146	0.3730042	0.38437581	0.3900005
VPS24	0.44260326	0.44100214	0.46358321	0.44365301	1.14861299	1.19266697	1.12127446	1.1828875	0.64704751	0.68653825	0.67959939	0.65557073	0.74302123	0.78941926	0.84819002	0.90774855
TRIM17	0.0207135	0.01986274	0.0192931	0.01929758	0.19918937	0.19663881	0.19569693	0.19401759	0.05470027	0.05309246	0.05608698	0.05467431	0.12459901	0.13018259	0.12049004	0.13351287
TRPC4	0.00087464	0.00104835	0.001709	0.00130217	0.04380942	0.04566214	0.04500038	0.04677558	0.01089972	0.01157999	0.01369369	0.01199368	0.02263305	0.02413015	0.02839999	0.02865351
VRK3	0.13294889	0.12840187	0.13997574	0.12816049	0.10860991	0.09963679	0.1094015	0.10455395	0.1181578	0.11698971	0.12538942	0.1202414	0.08698962	0.08463209	0.08721199	0.0877679
SPTBN5	0.00223409	0.00318489	0.00307524	0.00278197	0.01705725	0.0201295	0.01847328	0.01787195	0.00630894	0.00692122	0.00752956	0.00661925	0.01463347	0.0155025	0.01432935	0.01308146
UBN1	0.33388552	0.32503124	0.33071665	0.32511934	0.24470763	0.2334992	0.22180348	0.22419082	0.33813657	0.35005397	0.31666157	0.31470424	0.22302214	0.23465761	0.24349841	0.25142106
SPOCK3	0.00534707	0.00366768	0.00578957	0.0046697	0.91815913	0.9400813	0.92307302	0.94325551	0.21162721	0.20678861	0.21470828	0.2243863	0.62454047	0.63106442	0.61874024	0.64213918
SURF2	0.14353749	0.13502709	0.12920735	0.14199203	0.07292079	0.07386039	0.06862691	0.06698466	0.12471132	0.13049414	0.12509522	0.11946634	0.0779262	0.08149802	0.07613421	0.07820715
TSC	0.40710015	0.4063282	0.40705449	0.4054535	0.36010525	0.35792085	0.33851314	0.34897107	0.42688777	0.43215872	0.44715596	0.4273125	0.3490646	0.31809728	0.34250936	0.334581
SLC30A6	0.19215234	0.19978417	0.19679288	0.19595706	0.10755691	0.10657532	0.10630043	0.10395455	0.1954678	0.19671182	0.19160291	0.18660249	0.09100877	0.10131893	0.09116969	0.09001902
TMEM19	0.08119879	0.08266771	0.08924335	0.08745565	0.07985868	0.08533965	0.09313891	0.08891726	0.08926122	0.09574036	0.09193477	0.09571947	0.07850079	0.07848372	0.08607079	0.08607223
SEC5L1	0.21512428	0.22638308	0.22358123	0.21561645	0.19627522	0.1951645	0.19189227	0.19968941	0.22407831	0.22884888	0.22525341	0.22332087	0.18408093	0.18435911	0.18324174	0.18717811
UEV3	0.10884004	0.10974513	0.10679127	0.11019869	0.08915911	0.09474359	0.09706962	0.09113136	0.1093937	0.11252963	0.11574261	0.10925163	0.08265811	0.08688136	0.08754995	0.08750159
TRIM36	0.01834489	0.0170182	0.01799304	0.01739685	0.081318	0.08196115	0.07837399	0.07698932	0.03164104	0.03188733	0.03009197	0.02874189	0.0508605	0.04910083	0.05292669	0.05790046
XAB2	0.91142024	0.99919057	0.93974035	0.94391662	0.87863929	0.8724702	0.84379584	0.89881913	0.91787849	0.93172099	0.9291656	0.96085814	0.72198363	0.71005665	0.71213092	0.70470091
SLC15A2	0.01630935	0.01440282	0.01499359	0.01596009	0.11022443	0.11383104	0.11149053	0.11193476	0.04236897	0.03786481	0.04003824	0.04134562	0.07557783	0.07772405	0.07842016	0.07392337
SEZ6L	0.01180893	0.01351536	0.01292997	0.01230677	0.53980349	0.53710778	0.54789244	0.57993612	0.11440156	0.11747802	0.11644624	0.12102879	0.29339895	0.31029774	0.28961935	0.30338246
TNFAIP1	0.08506652	0.08317493	0.08799185	0.08440061	0.1020411	0.10370942	0.09801492	0.10281666	0.097299	0.09762474	0.09772618	0.09488139	0.08198578	0.08372692	0.07614956	0.08186881
TRIB2	1.28568008	1.31808266	1.36614543	1.34206829	0.47562396	0.42653079	0.51281869	0.48521657	1.17713104	1.19554585	1.2264846	1.17390987	0.5871613	0.56236222	0.55809808	0.54999138
UCP1	0.00046296	0.00046296	0.00046296	0.00046296	0.00046434	0.00046434	0.00046434	0.00046434	0.00046624	0.00046624	0.00046624	0.00046624	0.00036214	0.00036214	0.00036214	0.00036214
TEX27	0.74997696	0.74250213	0.75652726	0.72324427	0.5559069	0.5120486	0.52744698	0.53756933	0.76736083	0.74253419	0.78226973	0.74528028	0.52605018	0.55976158	0.57329433	0.56504354
SRR	0.03375204	0.03436574	0.03512635	0.03375863	0.05235056	0.05112501	0.05512544	0.05281563	0.04402978	0.0410696	0.04215358	0.04145093	0.0380274	0.03483513	0.03813134	0.0360499
SLC13A1	0.00046296	0.00046296	0.00046296	0.00046296	0.00046434	0.00046434	0.00046434	0.00046434	0.00046624	0.00046624	0.00046624	0.00046624	0.00036214	0.00036214	0.00036214	0.00036214
TPK1	0.02450419	0.02825407	0.02596208	0.02938573	0.10274522	0.10892562	0.10306307	0.1016104	0.04593019	0.05031485	0.0462523	0.04708113	0.06564473	0.06483053	0.06639419	0.07136254
SLC30A5	1.13288251	1.1586393	1.21478046	1.08528401	0.65170897	0.65934648	0.621778	0.64426969	1.02376974	1.09203861	1.05882564	1.07294068	0.7310114	0.73867249	0.7012937	0.71497269
SLC25A23	0.42232741	0.42645164	0.43453409	0.43745526	1.5513443	1.57323376	1.55497479	1.55935251	0.72958118	0.73777288	0.73228815	0.74052526	1.18102742	1.1933815	1.19570856	1.1986787
SHCBP1	0.09420208	0.09969049	0.0942464	0.10175089	0.00396567	0.00420147	0.00404608	0.00360814	0.08064095	0.08136449	0.08110902	0.07803594	0.02261662	0.0237286	0.02410074	0.02376357
TREML2	0.00078266	0.0008245	0.00113569	0.00072107	0.00046434	0.00046434	0.00046434	0.00053347	0.00089269	0.00059823	0.00061917	0.00112251	0.00048767	0.00065266	0.00036214	0.00048177
TMC7	0.0971662	0.10525613	0.10319922	0.09980539	0.30683486	0.33529036	0.31296214	0.29841789	0.16032465	0.15476489	0.14651519	0.1498481	0.18753101	0.19256486	0.18161836	0.18533178
WDR19	0.06468635	0.06211941	0.06016927	0.06075872	0.11061444	0.11705179	0.1148968	0.11244833	0.08101244	0.0831952	0.08435034	0.07752024	0.08619885	0.08513895	0.08564325	0.08757569
SPTBN4	0.00268517	0.00273876	0.00295296	0.00265968	0.33813717	0.33140642	0.3492273	0.34756596	0.05485739	0.05541552	0.05793125	0.05617258	0.16999439	0.17007211	0.17385055	0.16656213
WNT4	0.00933179	0.00591436	0.00820051	0.00740556	0.01300705	0.0120714	0.01270336	0.01386025	0.009593	0.0114318	0.01032784	0.00974578	0.01190369	0.01134093	0.01159204	0.01180194
STMN4	0.00853013	0.00768817	0.00720655	0.00817375	1.67567707	1.72551084	1.67601749	1.58131451	0.38041008	0.37901113	0.36069842	0.35697073	0.87377316	0.84623833	0.91686974	0.87066798
TCF7L1	0.2813252	0.29378537	0.28976048	0.27734202	0.05876068	0.06207138	0.05803854	0.06214602	0.24463873	0.2490167	0.24594652	0.24781004	0.1142634	0.11373381	0.10756343	0.10812967
TFE3	0.32294781	0.32746808	0.3249636	0.32490138	0.46864501	0.45007038	0.45250441	0.45917195	0.37779451	0.3763386	0.36895741	0.37060403	0.38075279	0.38526036	0.39380155	0.421919
